"treat","rep","tree","date","isalive","height","dia","dbh"
"CONTROL","C",47,8/18/1999 0:00:00,1,308.45,42.00,0.00
"CONTROL","C",47,2/7/2001 0:00:00,1,402.33,56.00,0.00
"CONTROL","C",47,5/31/2002 0:00:00,1,536.44,88.00,65.00
"CONTROL","C",47,11/26/2002 0:00:00,1,661.41,98.00,71.00
"CONTROL","C",47,4/26/2004 0:00:00,1,731.52,110.00,90.00
"CONTROL","C",47,8/23/2005 0:00:00,1,792.48,121.92,106.68
"CONTROL","C",48,10/7/1996 0:00:00,1,37.00,14.50,0.00
"CONTROL","C",48,11/11/1997 0:00:00,1,72.00,23.00,0.00
"CONTROL","C",48,8/18/1999 0:00:00,1,166.72,17.00,0.00
"CONTROL","C",48,2/7/2001 0:00:00,1,205.74,21.00,0.00
"CONTROL","C",48,5/31/2002 0:00:00,1,259.08,28.00,20.00
"CONTROL","C",48,11/26/2002 0:00:00,1,310.89,36.00,21.00
"CONTROL","C",48,4/26/2004 0:00:00,1,344.42,41.00,22.00
"CONTROL","C",48,8/23/2005 0:00:00,1,396.24,40.64,27.94
"CONTROL","C",49,10/7/1996 0:00:00,1,110.00,28.00,0.00
"CONTROL","C",49,11/11/1997 0:00:00,1,176.00,44.00,0.00
"CONTROL","C",49,8/18/1999 0:00:00,1,341.98,65.00,0.00
"CONTROL","C",49,2/7/2001 0:00:00,1,423.67,82.00,0.00
"CONTROL","C",49,5/31/2002 0:00:00,1,563.88,105.00,80.00
"CONTROL","C",49,11/26/2002 0:00:00,1,676.65,111.00,82.00
"CONTROL","C",49,4/26/2004 0:00:00,1,694.94,126.00,101.00
"CONTROL","C",49,8/23/2005 0:00:00,1,853.44,142.24,111.76
"CONTROL","C",50,10/7/1996 0:00:00,1,44.00,10.00,0.00
"CONTROL","C",50,11/11/1997 0:00:00,1,95.00,17.50,0.00
"CONTROL","C",50,8/18/1999 0:00:00,1,267.61,57.00,0.00
"CONTROL","C",50,2/7/2001 0:00:00,1,338.93,65.00,0.00
"CONTROL","C",50,5/31/2002 0:00:00,1,454.15,89.00,72.00
"CONTROL","C",50,11/26/2002 0:00:00,1,560.83,102.00,79.00
"CONTROL","C",50,4/26/2004 0:00:00,1,627.88,118.00,88.00
"CONTROL","C",50,8/23/2005 0:00:00,1,792.48,147.32,119.38
"CONTROL","C",51,10/7/1996 0:00:00,1,107.00,16.70,0.00
"CONTROL","C",51,11/11/1997 0:00:00,1,152.00,25.00,0.00
"CONTROL","C",51,8/18/1999 0:00:00,1,321.25,47.00,0.00
"CONTROL","C",51,2/7/2001 0:00:00,1,430.07,68.00,0.00
"CONTROL","C",51,5/31/2002 0:00:00,1,569.97,98.00,69.00
"CONTROL","C",51,11/26/2002 0:00:00,1,694.94,112.00,77.00
"CONTROL","C",51,4/26/2004 0:00:00,1,762.00,132.00,97.00
"CONTROL","C",51,8/23/2005 0:00:00,1,792.48,154.94,127.00
"CONTROL","C",52,10/7/1996 0:00:00,1,99.00,22.60,0.00
"CONTROL","C",52,11/11/1997 0:00:00,1,155.00,31.00,0.00
"CONTROL","C",52,8/18/1999 0:00:00,1,327.35,65.00,0.00
"CONTROL","C",52,2/7/2001 0:00:00,1,416.66,84.00,0.00
"CONTROL","C",52,5/31/2002 0:00:00,1,554.73,120.00,79.00
"CONTROL","C",52,11/26/2002 0:00:00,1,655.32,135.00,85.00
"CONTROL","C",52,4/26/2004 0:00:00,1,679.70,135.00,108.00
"CONTROL","C",52,8/23/2005 0:00:00,1,762.00,177.80,142.24
"CONTROL","C",53,10/7/1996 0:00:00,0,,,
"CONTROL","C",53,11/11/1997 0:00:00,0,,,
"CONTROL","C",53,8/18/1999 0:00:00,0,,,
"CONTROL","C",53,2/7/2001 0:00:00,0,,,
"CONTROL","C",53,5/31/2002 0:00:00,0,,,
"CONTROL","C",53,11/26/2002 0:00:00,0,,,
"CONTROL","C",53,4/26/2004 0:00:00,0,,,
"CONTROL","C",53,8/23/2005 0:00:00,0,,,
"CONTROL","C",54,10/7/1996 0:00:00,0,,,
"CONTROL","C",54,11/11/1997 0:00:00,0,,,
"CONTROL","C",54,8/18/1999 0:00:00,0,,,
"CONTROL","C",54,2/7/2001 0:00:00,0,,,
"CONTROL","C",54,5/31/2002 0:00:00,0,,,
"CONTROL","C",54,11/26/2002 0:00:00,0,,,
"CONTROL","C",54,4/26/2004 0:00:00,0,,,
"CONTROL","C",54,8/23/2005 0:00:00,0,,,
"CONTROL","C",55,10/7/1996 0:00:00,1,115.00,18.30,0.00
"CONTROL","C",55,11/11/1997 0:00:00,1,140.00,26.50,0.00
"CONTROL","C",55,8/18/1999 0:00:00,1,280.41,45.00,0.00
"CONTROL","C",55,2/7/2001 0:00:00,1,373.38,60.00,0.00
"CONTROL","C",55,5/31/2002 0:00:00,1,484.63,78.00,57.00
"CONTROL","C",55,11/26/2002 0:00:00,1,569.97,91.00,66.00
"CONTROL","C",55,4/26/2004 0:00:00,1,667.51,105.00,82.00
"CONTROL","C",55,8/23/2005 0:00:00,1,822.96,134.62,104.14
"CONTROL","C",56,10/7/1996 0:00:00,1,85.00,15.10,0.00
"CONTROL","C",56,11/11/1997 0:00:00,1,137.00,27.00,0.00
"CONTROL","C",56,8/18/1999 0:00:00,1,288.03,48.00,0.00
"CONTROL","C",56,2/7/2001 0:00:00,1,377.03,70.00,0.00
"CONTROL","C",56,5/31/2002 0:00:00,1,499.87,103.00,70.00
"CONTROL","C",56,11/26/2002 0:00:00,1,612.64,123.00,82.00
"CONTROL","C",56,4/26/2004 0:00:00,1,694.94,141.00,102.00
"CONTROL","C",56,8/23/2005 0:00:00,1,792.48,193.04,142.24
"CONTROL","C",57,10/7/1996 0:00:00,1,28.00,8.00,0.00
"CONTROL","C",57,11/11/1997 0:00:00,0,,,
"CONTROL","C",57,8/18/1999 0:00:00,0,,,
"CONTROL","C",57,2/7/2001 0:00:00,0,,,
"CONTROL","C",57,5/31/2002 0:00:00,0,,,
"CONTROL","C",57,11/26/2002 0:00:00,0,,,
"CONTROL","C",57,4/26/2004 0:00:00,0,,,
"CONTROL","C",57,8/23/2005 0:00:00,0,,,
"CONTROL","C",58,10/7/1996 0:00:00,1,70.00,14.80,0.00
"CONTROL","C",58,11/11/1997 0:00:00,1,113.00,21.00,0.00
"CONTROL","C",58,8/18/1999 0:00:00,1,271.27,37.00,0.00
"CONTROL","C",58,2/7/2001 0:00:00,1,352.04,54.00,0.00
"CONTROL","C",58,5/31/2002 0:00:00,1,438.91,71.00,56.00
"CONTROL","C",58,11/26/2002 0:00:00,1,405.38,81.00,53.00
"CONTROL","C",58,4/26/2004 0:00:00,1,606.55,94.00,72.00
"CONTROL","C",58,8/23/2005 0:00:00,1,853.44,119.38,99.06
"CONTROL","C",59,10/7/1996 0:00:00,1,118.00,14.50,0.00
"CONTROL","C",59,11/11/1997 0:00:00,1,150.00,22.00,0.00
"CONTROL","C",59,8/18/1999 0:00:00,1,167.64,34.00,0.00
"CONTROL","C",59,2/7/2001 0:00:00,1,216.40,43.00,0.00
"CONTROL","C",59,5/31/2002 0:00:00,1,329.18,62.00,42.00
"CONTROL","C",59,11/26/2002 0:00:00,1,469.39,62.00,40.00
"CONTROL","C",59,4/26/2004 0:00:00,1,579.12,82.00,61.00
"CONTROL","C",59,8/23/2005 0:00:00,1,853.44,116.84,91.44
"CONTROL","C",60,10/7/1996 0:00:00,1,95.00,12.30,0.00
"CONTROL","C",60,11/11/1997 0:00:00,1,137.00,14.50,0.00
"CONTROL","C",60,8/18/1999 0:00:00,1,213.66,25.00,0.00
"CONTROL","C",60,2/7/2001 0:00:00,1,245.36,41.00,0.00
"CONTROL","C",60,5/31/2002 0:00:00,1,310.89,60.00,40.00
"CONTROL","C",60,11/26/2002 0:00:00,1,405.38,61.00,44.00
"CONTROL","C",60,4/26/2004 0:00:00,1,466.34,78.00,55.00
"CONTROL","C",60,8/23/2005 0:00:00,1,701.04,91.44,78.74
"OUST","A",1,10/7/1996 0:00:00,1,108.00,31.50,0.00
"OUST","A",1,11/11/1997 0:00:00,1,203.00,52.00,0.00
"OUST","A",1,8/18/1999 0:00:00,1,437.38,83.00,0.00
"OUST","A",1,2/7/2001 0:00:00,1,528.52,110.00,0.00
"OUST","A",1,5/31/2002 0:00:00,1,649.22,128.00,90.00
"OUST","A",1,11/26/2002 0:00:00,1,752.85,132.00,94.00
"OUST","A",1,4/26/2004 0:00:00,1,822.96,168.00,109.00
"OUST","A",1,8/23/2005 0:00:00,1,914.40,180.34,130.81
"OUST","A",2,10/7/1996 0:00:00,1,66.00,22.60,0.00
"OUST","A",2,11/11/1997 0:00:00,1,140.00,33.00,0.00
"OUST","A",2,8/18/1999 0:00:00,1,353.87,61.00,0.00
"OUST","A",2,2/7/2001 0:00:00,1,471.52,79.00,0.00
"OUST","A",2,5/31/2002 0:00:00,1,594.36,130.00,90.00
"OUST","A",2,11/26/2002 0:00:00,1,755.90,138.00,97.00
"OUST","A",2,4/26/2004 0:00:00,1,853.44,179.00,130.00
"OUST","A",2,8/23/2005 0:00:00,1,1066.80,218.44,170.18
"OUST","A",3,10/7/1996 0:00:00,1,89.00,20.10,0.00
"OUST","A",3,11/11/1997 0:00:00,1,170.00,31.50,0.00
"OUST","A",3,8/18/1999 0:00:00,1,374.90,51.00,0.00
"OUST","A",3,2/7/2001 0:00:00,1,482.19,82.00,0.00
"OUST","A",3,5/31/2002 0:00:00,1,633.98,125.00,89.00
"OUST","A",3,11/26/2002 0:00:00,1,737.61,150.00,93.00
"OUST","A",3,4/26/2004 0:00:00,1,853.44,171.00,120.00
"OUST","A",3,8/23/2005 0:00:00,1,1097.28,210.82,154.94
"OUST","A",4,10/7/1996 0:00:00,1,104.00,24.50,0.00
"OUST","A",4,11/11/1997 0:00:00,1,193.00,40.00,0.00
"OUST","A",4,8/18/1999 0:00:00,1,400.81,77.00,0.00
"OUST","A",4,2/7/2001 0:00:00,1,529.74,112.00,0.00
"OUST","A",4,5/31/2002 0:00:00,1,673.60,130.00,98.00
"OUST","A",4,11/26/2002 0:00:00,1,813.81,142.00,108.00
"OUST","A",4,4/26/2004 0:00:00,1,792.48,169.00,138.00
"OUST","A",4,8/23/2005 0:00:00,1,1066.80,229.87,170.18
"OUST","A",5,10/7/1996 0:00:00,1,160.00,28.00,0.00
"OUST","A",5,11/11/1997 0:00:00,1,210.00,43.00,0.00
"OUST","A",5,8/18/1999 0:00:00,1,417.88,81.00,0.00
"OUST","A",5,2/7/2001 0:00:00,1,540.41,104.00,0.00
"OUST","A",5,5/31/2002 0:00:00,1,664.46,146.00,107.00
"OUST","A",5,11/26/2002 0:00:00,1,768.09,172.00,121.00
"OUST","A",5,4/26/2004 0:00:00,1,792.48,198.00,147.00
"OUST","A",5,8/23/2005 0:00:00,1,975.36,252.73,181.61
"OUST","A",6,10/7/1996 0:00:00,1,110.00,19.70,0.00
"OUST","A",6,11/11/1997 0:00:00,1,181.00,36.00,0.00
"OUST","A",6,8/18/1999 0:00:00,1,372.46,57.00,0.00
"OUST","A",6,2/7/2001 0:00:00,1,489.20,88.00,0.00
"OUST","A",6,5/31/2002 0:00:00,1,646.17,130.00,87.00
"OUST","A",6,11/26/2002 0:00:00,1,752.85,155.00,95.00
"OUST","A",6,4/26/2004 0:00:00,1,822.96,172.00,120.00
"OUST","A",6,8/23/2005 0:00:00,1,1036.32,220.98,165.10
"OUST","A",7,10/7/1996 0:00:00,1,92.00,25.70,0.00
"OUST","A",7,11/11/1997 0:00:00,1,130.00,40.00,0.00
"OUST","A",7,8/18/1999 0:00:00,1,333.45,62.00,0.00
"OUST","A",7,2/7/2001 0:00:00,1,479.75,110.00,0.00
"OUST","A",7,5/31/2002 0:00:00,1,603.50,177.00,77.00
"OUST","A",7,11/26/2002 0:00:00,1,728.47,182.00,88.00
"OUST","A",7,4/26/2004 0:00:00,1,883.92,215.00,105.00
"OUST","A",7,8/23/2005 0:00:00,1,1097.28,274.32,134.62
"OUST","A",8,10/7/1996 0:00:00,1,42.00,15.20,0.00
"OUST","A",8,11/11/1997 0:00:00,1,75.00,25.00,0.00
"OUST","A",8,8/18/1999 0:00:00,1,233.78,47.00,0.00
"OUST","A",8,2/7/2001 0:00:00,1,361.18,64.00,0.00
"OUST","A",8,5/31/2002 0:00:00,1,460.24,101.00,66.00
"OUST","A",8,11/26/2002 0:00:00,1,571.50,119.00,65.00
"OUST","A",8,4/26/2004 0:00:00,1,670.56,150.00,88.00
"OUST","A",8,8/23/2005 0:00:00,1,792.48,247.65,106.68
"OUST","A",9,10/7/1996 0:00:00,1,96.00,17.80,0.00
"OUST","A",9,11/11/1997 0:00:00,1,139.00,27.00,0.00
"OUST","A",9,8/18/1999 0:00:00,1,256.03,50.00,0.00
"OUST","A",9,2/7/2001 0:00:00,1,359.66,73.00,0.00
"OUST","A",9,5/31/2002 0:00:00,1,484.63,101.00,69.00
"OUST","A",9,11/26/2002 0:00:00,1,614.17,110.00,80.00
"OUST","A",9,4/26/2004 0:00:00,1,792.48,142.00,107.00
"OUST","A",9,8/23/2005 0:00:00,1,914.40,177.80,137.16
"OUST","A",10,10/7/1996 0:00:00,1,158.00,30.50,0.00
"OUST","A",10,11/11/1997 0:00:00,1,224.00,46.00,0.00
"OUST","A",10,8/18/1999 0:00:00,1,430.07,90.00,0.00
"OUST","A",10,2/7/2001 0:00:00,1,544.98,112.00,0.00
"OUST","A",10,5/31/2002 0:00:00,1,691.89,151.00,110.00
"OUST","A",10,11/26/2002 0:00:00,1,941.83,179.00,122.00
"OUST","A",10,4/26/2004 0:00:00,1,853.44,210.00,151.00
"OUST","A",10,8/23/2005 0:00:00,1,1219.20,298.45,180.34
"OUST","A",11,10/7/1996 0:00:00,1,66.00,16.40,0.00
"OUST","A",11,11/11/1997 0:00:00,1,112.00,23.50,0.00
"OUST","A",11,8/18/1999 0:00:00,1,316.07,58.00,0.00
"OUST","A",11,2/7/2001 0:00:00,1,424.58,89.00,0.00
"OUST","A",11,5/31/2002 0:00:00,1,536.44,111.00,71.00
"OUST","A",11,11/26/2002 0:00:00,1,655.32,130.00,80.00
"OUST","A",11,4/26/2004 0:00:00,1,792.48,159.00,111.00
"OUST","A",11,8/23/2005 0:00:00,1,1219.20,205.74,137.16
"OUST","A",12,10/7/1996 0:00:00,1,90.00,18.40,0.00
"OUST","A",12,11/11/1997 0:00:00,1,141.00,32.50,0.00
"OUST","A",12,8/18/1999 0:00:00,1,316.68,67.00,0.00
"OUST","A",12,2/7/2001 0:00:00,1,449.88,90.00,0.00
"OUST","A",12,5/31/2002 0:00:00,1,539.49,120.00,91.00
"OUST","A",12,11/26/2002 0:00:00,1,664.46,131.00,97.00
"OUST","A",12,4/26/2004 0:00:00,1,731.52,174.00,122.00
"OUST","A",12,8/23/2005 0:00:00,1,1158.24,210.82,157.48
"OUST","A",13,10/7/1996 0:00:00,1,50.00,15.40,0.00
"OUST","A",13,11/11/1997 0:00:00,1,89.00,24.00,0.00
"OUST","A",13,8/18/1999 0:00:00,1,212.75,48.00,0.00
"OUST","A",13,2/7/2001 0:00:00,1,301.75,68.00,0.00
"OUST","A",13,5/31/2002 0:00:00,1,411.48,98.00,63.00
"OUST","A",13,11/26/2002 0:00:00,1,530.35,109.00,72.00
"OUST","A",13,4/26/2004 0:00:00,1,609.60,134.00,92.00
"OUST","A",13,8/23/2005 0:00:00,1,1158.24,175.26,119.38
"OUST","A",14,10/7/1996 0:00:00,1,92.00,19.40,0.00
"OUST","A",14,11/11/1997 0:00:00,1,181.00,37.00,0.00
"OUST","A",14,8/18/1999 0:00:00,1,346.25,76.00,0.00
"OUST","A",14,2/7/2001 0:00:00,1,437.08,105.00,0.00
"OUST","A",14,5/31/2002 0:00:00,1,582.16,152.00,105.00
"OUST","A",14,11/26/2002 0:00:00,1,670.56,172.00,120.00
"OUST","A",14,4/26/2004 0:00:00,1,792.48,210.00,146.00
"OUST","A",14,8/23/2005 0:00:00,1,975.36,266.70,198.12
"OUST","A",15,10/7/1996 0:00:00,1,75.00,21.60,0.00
"OUST","A",15,11/11/1997 0:00:00,1,163.00,38.00,0.00
"OUST","A",15,8/18/1999 0:00:00,1,372.77,74.00,0.00
"OUST","A",15,2/7/2001 0:00:00,1,508.71,98.00,0.00
"OUST","A",15,5/31/2002 0:00:00,1,640.08,158.00,108.00
"OUST","A",15,11/26/2002 0:00:00,1,771.14,160.00,115.00
"OUST","A",15,4/26/2004 0:00:00,1,792.48,205.00,140.00
"OUST","A",15,8/23/2005 0:00:00,1,1188.72,248.92,182.88
"OUST","A",16,10/7/1996 0:00:00,1,97.00,23.40,0.00
"OUST","A",16,11/11/1997 0:00:00,1,180.00,44.00,0.00
"OUST","A",16,8/18/1999 0:00:00,1,373.07,69.00,0.00
"OUST","A",16,2/7/2001 0:00:00,1,507.49,110.00,0.00
"OUST","A",16,5/31/2002 0:00:00,1,591.31,131.00,95.00
"OUST","A",16,11/26/2002 0:00:00,1,722.37,150.00,106.00
"OUST","A",16,4/26/2004 0:00:00,1,792.48,178.00,128.00
"OUST","A",16,8/23/2005 0:00:00,1,1127.76,223.52,165.10
"OUST","A",17,10/7/1996 0:00:00,1,71.00,21.30,0.00
"OUST","A",17,11/11/1997 0:00:00,1,140.00,35.00,0.00
"OUST","A",17,8/18/1999 0:00:00,1,171.90,51.00,0.00
"OUST","A",17,2/7/2001 0:00:00,1,235.91,60.00,0.00
"OUST","A",17,5/31/2002 0:00:00,1,320.04,78.00,51.00
"OUST","A",17,11/26/2002 0:00:00,1,411.48,91.00,55.00
"OUST","A",17,4/26/2004 0:00:00,1,487.68,112.00,74.00
"OUST","A",17,8/23/2005 0:00:00,1,792.48,139.70,104.14
"OUST","A",18,10/7/1996 0:00:00,1,89.00,20.10,0.00
"OUST","A",18,11/11/1997 0:00:00,1,152.00,32.00,0.00
"OUST","A",18,8/18/1999 0:00:00,1,303.27,59.00,0.00
"OUST","A",18,2/7/2001 0:00:00,1,397.15,82.00,0.00
"OUST","A",18,5/31/2002 0:00:00,1,493.77,120.00,78.00
"OUST","A",18,11/26/2002 0:00:00,1,600.45,131.00,86.00
"OUST","A",18,4/26/2004 0:00:00,1,762.00,155.00,112.00
"OUST","A",18,8/23/2005 0:00:00,1,944.88,195.58,134.62
"OUST","A",19,10/7/1996 0:00:00,1,113.00,31.40,0.00
"OUST","A",19,11/11/1997 0:00:00,1,208.00,66.00,0.00
"OUST","A",19,8/18/1999 0:00:00,1,426.72,91.00,0.00
"OUST","A",19,2/7/2001 0:00:00,1,551.68,140.00,0.00
"OUST","A",19,5/31/2002 0:00:00,1,612.64,147.00,98.00
"OUST","A",19,11/26/2002 0:00:00,1,743.71,159.00,110.00
"OUST","A",19,4/26/2004 0:00:00,1,762.00,208.00,140.00
"OUST","A",19,8/23/2005 0:00:00,1,944.88,233.68,160.02
"OUST","A",20,10/7/1996 0:00:00,1,102.00,32.80,0.00
"OUST","A",20,11/11/1997 0:00:00,1,176.00,45.00,0.00
"OUST","A",20,8/18/1999 0:00:00,1,428.85,82.00,0.00
"OUST","A",20,2/7/2001 0:00:00,1,576.37,118.00,0.00
"OUST","A",20,5/31/2002 0:00:00,1,679.70,172.00,108.00
"OUST","A",20,11/26/2002 0:00:00,1,938.78,202.00,132.00
"OUST","A",20,4/26/2004 0:00:00,1,1005.84,212.00,160.00
"OUST","A",20,8/23/2005 0:00:00,1,1280.16,289.56,213.36
"OUST","B",21,10/7/1996 0:00:00,1,75.00,24.50,0.00
"OUST","B",21,11/11/1997 0:00:00,1,135.00,36.00,0.00
"OUST","B",21,8/18/1999 0:00:00,1,340.76,68.00,0.00
"OUST","B",21,2/7/2001 0:00:00,1,463.29,88.00,0.00
"OUST","B",21,5/31/2002 0:00:00,1,618.74,129.00,90.00
"OUST","B",21,11/26/2002 0:00:00,1,676.65,147.00,106.00
"OUST","B",21,4/26/2004 0:00:00,1,1036.32,170.00,120.00
"OUST","B",21,8/23/2005 0:00:00,1,1127.76,213.36,157.48
"OUST","B",22,10/7/1996 0:00:00,1,109.00,25.00,0.00
"OUST","B",22,11/11/1997 0:00:00,1,208.00,47.00,0.00
"OUST","B",22,8/18/1999 0:00:00,1,432.81,79.00,0.00
"OUST","B",22,2/7/2001 0:00:00,1,550.77,108.00,0.00
"OUST","B",22,5/31/2002 0:00:00,1,652.27,152.00,105.00
"OUST","B",22,11/26/2002 0:00:00,1,774.19,172.00,115.00
"OUST","B",22,4/26/2004 0:00:00,1,914.40,204.00,140.00
"OUST","B",22,8/23/2005 0:00:00,1,1097.28,261.62,185.42
"OUST","B",23,10/7/1996 0:00:00,1,99.00,29.40,0.00
"OUST","B",23,11/11/1997 0:00:00,1,147.00,37.00,0.00
"OUST","B",23,8/18/1999 0:00:00,1,365.15,81.00,0.00
"OUST","B",23,2/7/2001 0:00:00,1,509.01,126.00,0.00
"OUST","B",23,5/31/2002 0:00:00,1,630.93,171.00,94.00
"OUST","B",23,11/26/2002 0:00:00,1,762.00,192.00,116.00
"OUST","B",23,4/26/2004 0:00:00,1,944.88,230.00,146.00
"OUST","B",23,8/23/2005 0:00:00,1,1158.24,259.08,182.88
"OUST","B",24,10/7/1996 0:00:00,1,56.00,14.20,0.00
"OUST","B",24,11/11/1997 0:00:00,1,149.00,25.00,0.00
"OUST","B",24,8/18/1999 0:00:00,1,279.80,50.00,0.00
"OUST","B",24,2/7/2001 0:00:00,1,352.04,71.00,0.00
"OUST","B",24,5/31/2002 0:00:00,1,445.00,109.00,71.00
"OUST","B",24,11/26/2002 0:00:00,1,563.88,129.00,90.00
"OUST","B",24,4/26/2004 0:00:00,1,731.52,140.00,120.00
"OUST","B",24,8/23/2005 0:00:00,1,1005.84,172.72,139.70
"OUST","B",25,10/7/1996 0:00:00,1,78.00,24.90,0.00
"OUST","B",25,11/11/1997 0:00:00,1,140.00,42.00,0.00
"OUST","B",25,8/18/1999 0:00:00,1,366.36,64.00,0.00
"OUST","B",25,2/7/2001 0:00:00,1,510.54,100.00,0.00
"OUST","B",25,5/31/2002 0:00:00,1,594.36,130.00,94.00
"OUST","B",25,11/26/2002 0:00:00,1,701.04,159.00,113.00
"OUST","B",25,4/26/2004 0:00:00,1,914.40,193.00,139.00
"OUST","B",25,8/23/2005 0:00:00,1,944.88,254.00,175.26
"OUST","B",26,10/7/1996 0:00:00,1,92.00,14.60,0.00
"OUST","B",26,11/11/1997 0:00:00,1,119.00,35.00,0.00
"OUST","B",26,8/18/1999 0:00:00,1,294.43,56.00,0.00
"OUST","B",26,2/7/2001 0:00:00,1,428.54,70.00,0.00
"OUST","B",26,5/31/2002 0:00:00,1,530.35,110.00,88.00
"OUST","B",26,11/26/2002 0:00:00,1,652.27,119.00,86.00
"OUST","B",26,4/26/2004 0:00:00,1,762.00,145.00,111.00
"OUST","B",26,8/23/2005 0:00:00,1,944.88,177.80,160.02
"OUST","B",27,10/7/1996 0:00:00,1,104.00,32.90,0.00
"OUST","B",27,11/11/1997 0:00:00,1,160.00,53.00,0.00
"OUST","B",27,8/18/1999 0:00:00,1,350.52,104.00,0.00
"OUST","B",27,2/7/2001 0:00:00,1,485.85,108.00,0.00
"OUST","B",27,5/31/2002 0:00:00,1,603.50,139.00,88.00
"OUST","B",27,11/26/2002 0:00:00,1,731.52,159.00,99.00
"OUST","B",27,4/26/2004 0:00:00,1,762.00,140.00,84.00
"OUST","B",27,8/23/2005 0:00:00,1,1036.32,177.80,147.32
"OUST","B",28,10/7/1996 0:00:00,1,84.00,31.90,0.00
"OUST","B",28,11/11/1997 0:00:00,1,145.00,42.00,0.00
"OUST","B",28,8/18/1999 0:00:00,1,324.61,91.00,0.00
"OUST","B",28,2/7/2001 0:00:00,1,455.98,92.00,0.00
"OUST","B",28,5/31/2002 0:00:00,1,615.69,137.00,99.00
"OUST","B",28,11/26/2002 0:00:00,1,652.27,146.00,98.00
"OUST","B",28,4/26/2004 0:00:00,1,883.92,191.00,130.00
"OUST","B",28,8/23/2005 0:00:00,1,1188.72,238.76,175.26
"OUST","B",29,10/7/1996 0:00:00,1,66.00,16.00,0.00
"OUST","B",29,11/11/1997 0:00:00,1,126.00,31.50,0.00
"OUST","B",29,8/18/1999 0:00:00,1,278.58,55.00,0.00
"OUST","B",29,2/7/2001 0:00:00,1,401.42,77.00,0.00
"OUST","B",29,5/31/2002 0:00:00,1,512.06,113.00,75.00
"OUST","B",29,11/26/2002 0:00:00,1,655.32,121.00,76.00
"OUST","B",29,4/26/2004 0:00:00,1,731.52,142.00,118.00
"OUST","B",29,8/23/2005 0:00:00,1,1097.28,195.58,132.08
"OUST","B",30,10/7/1996 0:00:00,1,67.00,20.70,0.00
"OUST","B",30,11/11/1997 0:00:00,1,97.00,33.50,0.00
"OUST","B",30,8/18/1999 0:00:00,1,285.90,59.00,0.00
"OUST","B",30,2/7/2001 0:00:00,1,414.52,93.00,0.00
"OUST","B",30,5/31/2002 0:00:00,1,530.35,112.00,78.00
"OUST","B",30,11/26/2002 0:00:00,1,640.08,134.00,83.00
"OUST","B",30,4/26/2004 0:00:00,1,640.08,160.00,104.00
"OUST","B",30,8/23/2005 0:00:00,1,944.88,203.20,134.62
"OUST","B",31,10/7/1996 0:00:00,1,101.00,24.80,0.00
"OUST","B",31,11/11/1997 0:00:00,1,171.00,34.00,0.00
"OUST","B",31,8/18/1999 0:00:00,1,338.63,70.00,0.00
"OUST","B",31,2/7/2001 0:00:00,1,475.48,105.00,0.00
"OUST","B",31,5/31/2002 0:00:00,1,615.69,130.00,82.00
"OUST","B",31,11/26/2002 0:00:00,1,722.37,145.00,92.00
"OUST","B",31,4/26/2004 0:00:00,1,701.04,190.00,114.00
"OUST","B",31,8/23/2005 0:00:00,1,914.40,223.52,152.40
"OUST","B",32,10/7/1996 0:00:00,1,92.00,18.20,0.00
"OUST","B",32,11/11/1997 0:00:00,1,184.00,63.00,0.00
"OUST","B",32,8/18/1999 0:00:00,1,372.46,108.00,0.00
"OUST","B",32,2/7/2001 0:00:00,1,527.30,142.00,0.00
"OUST","B",32,5/31/2002 0:00:00,1,661.41,192.00,102.00
"OUST","B",32,11/26/2002 0:00:00,1,819.91,198.00,100.00
"OUST","B",32,4/26/2004 0:00:00,1,944.88,230.00,136.00
"OUST","B",32,8/23/2005 0:00:00,1,1066.80,195.58,172.72
"OUST","B",33,10/7/1996 0:00:00,1,127.00,33.00,0.00
"OUST","B",33,11/11/1997 0:00:00,1,190.00,40.50,0.00
"OUST","B",33,8/18/1999 0:00:00,1,389.22,78.00,0.00
"OUST","B",33,2/7/2001 0:00:00,1,539.49,108.00,0.00
"OUST","B",33,5/31/2002 0:00:00,1,691.89,145.00,96.00
"OUST","B",33,11/26/2002 0:00:00,1,798.57,144.00,102.00
"OUST","B",33,4/26/2004 0:00:00,1,1036.32,172.00,122.00
"OUST","B",33,8/23/2005 0:00:00,1,1066.80,231.14,162.56
"OUST","B",34,10/7/1996 0:00:00,1,103.00,21.70,0.00
"OUST","B",34,11/11/1997 0:00:00,1,172.00,40.00,0.00
"OUST","B",34,8/18/1999 0:00:00,1,149.35,80.00,0.00
"OUST","B",34,2/7/2001 0:00:00,1,446.53,99.00,0.00
"OUST","B",34,5/31/2002 0:00:00,1,573.02,122.00,92.00
"OUST","B",34,11/26/2002 0:00:00,1,658.36,132.00,105.00
"OUST","B",34,4/26/2004 0:00:00,1,792.48,152.00,136.00
"OUST","B",34,8/23/2005 0:00:00,1,1005.84,190.50,152.40
"OUST","B",35,10/7/1996 0:00:00,1,64.00,18.20,0.00
"OUST","B",35,11/11/1997 0:00:00,1,212.00,61.00,0.00
"OUST","B",35,8/18/1999 0:00:00,1,426.41,98.00,0.00
"OUST","B",35,2/7/2001 0:00:00,1,550.16,129.00,0.00
"OUST","B",35,5/31/2002 0:00:00,1,755.90,158.00,119.00
