Site,Location,Tree,Age.base,Height,Diameter,Volume,Age.bh
3,1,12,100,25.4,31.2,808,88.33
3,1,12,110,26.9,33,964,98.33
3,1,12,120,28.4,34.5,1124,108.33
3,1,12,130,29.7,36,1291,118.33
3,1,12,140,30.8,37.1,1422,128.33
3,1,12,150,31.8,38.3,1576,138.33
3,1,13,10,1.3,NA,0.3,NA
3,1,13,20,4.1,5.1,6,10
3,1,13,30,7.7,10.3,30,20
3,1,13,40,11.1,14.7,89,30
3,1,13,50,14.4,18.7,181,40
3,1,13,60,17.5,21.9,309,50
3,1,13,70,20.3,24.7,458,60
3,1,13,80,22.5,27.2,630,70
3,1,13,90,24.2,28.9,776,80
3,1,13,100,25.8,30.6,931,90
3,1,13,110,27.1,32.1,1073,100
3,1,13,120,28.3,33.6,1226,110
3,1,13,130,29.6,35.3,1381,120
3,1,13,140,30.8,37,1547,130
3,1,13,150,31.8,38.8,1736,140
3,1,14,10,1.2,NA,0.3,NA
3,1,14,20,2.8,3.2,2,9.38
3,1,14,30,5.8,6.6,11,19.37
3,1,14,40,8.6,9.3,32,29.37
3,1,14,50,10.9,12,64,39.38
3,1,14,60,13,14.1,104,49.38
3,1,14,70,15.2,16.2,155,59.38
3,1,14,80,16.6,17.9,209,69.37
3,1,14,90,17.8,19.4,257,79.37
3,1,14,100,19.2,20.9,314,89.37
3,1,14,110,20.3,21.7,351,99.37
3,1,14,120,21,22.8,404,109.37
3,1,14,130,21.6,23.7,446,119.37
3,1,14,140,22.3,24.8,503,129.37
3,1,14,150,23,25.8,555,139.37
3,1,15,10,0.6,NA,0,NA
3,1,15,20,1.9,1.5,1,4.62
3,1,15,30,5,6.2,9,14.62
3,1,15,40,8.2,10.3,33,24.62
3,1,15,50,11,13.4,74,34.62
3,1,15,60,13.6,16.6,135,44.62
3,1,15,70,15.8,19.5,209,54.62
3,1,15,80,17.6,21.5,289,64.62
3,1,15,90,19.2,23.8,371,74.62
3,1,15,100,21,24.9,464,84.62
3,1,15,110,22.5,26.2,556,94.62
3,1,15,120,23.7,27.2,635,104.62
3,1,15,130,24.7,28.5,727,114.62
3,1,15,140,25.7,29.7,823,124.62
3,1,15,150,26.7,30.9,921,134.62
3,1,16,10,1.1,NA,0.2,NA
3,1,16,20,3,4.1,4,8.95
3,1,16,30,5.9,8.5,18,18.95
3,1,16,40,8.4,13.4,61,28.95
3,1,16,50,10.9,17,119,38.95
3,1,16,60,13.4,20,196,48.95
3,1,16,70,15.6,22.8,297,58.95
3,1,16,80,17.7,25.5,424,68.95
3,1,16,90,19.4,27.6,541,78.95
3,1,16,100,20.9,29.6,671,88.95
3,1,16,110,22.3,31.6,808,98.95
3,1,16,120,23.5,33,925,108.95
3,1,16,130,24.3,34.9,1073,118.95
3,1,16,140,25,36.1,1184,128.95
3,1,16,150,25.9,37.6,1321,138.95
3,3,13,10,1.2,NA,0.3,NA
3,3,13,20,3.7,5.2,6,9.6
3,3,13,30,6.8,9.3,22,19.6
3,3,13,40,10.1,12.8,59,29.6
3,3,13,50,13.2,15.8,115,39.6
3,3,13,60,16.2,18.6,204,49.6
3,3,13,70,18.8,20.9,308,59.6
3,3,13,80,20.7,22.9,410,69.6
3,3,13,90,22.7,24.8,512,79.6
3,3,13,100,24.3,26.5,613,89.6
3,3,13,110,25.6,27.8,700,99.6
3,3,13,120,26.9,29.1,788,109.6
3,3,14,10,1.3,NA,0.3,NA
3,3,14,20,3.5,4.7,5,10
3,3,14,30,7,9.1,21,20
3,3,14,40,10.8,13.4,68,30
3,3,14,50,14.2,16.8,139,40
3,3,14,60,17,19.7,232,50
3,3,14,70,18.9,21.9,326,60
3,3,14,80,20.7,23.6,409,70
3,3,14,90,22.6,25.2,505,80
3,3,14,100,24.5,26.7,602,90
3,3,14,110,26.1,27.8,694,100
3,4,3,10,1.6,0.5,0.4,1.11
3,4,3,20,4.3,5.5,7,11.11
3,4,3,30,7.2,8.6,22,21.11
3,4,3,40,10.3,11.9,57,31.11
3,4,3,50,13,14.1,103,41.11
3,4,3,60,15.8,15.8,160,51.11
3,4,3,70,18.4,17.2,220,61.11
3,4,3,80,20.2,18.4,289,71.11
3,4,3,90,22.1,20.1,387,81.11
3,4,3,100,23.4,21.5,465,91.11
3,4,3,110,24.5,22.3,524,101.11
3,4,4,10,0.8,NA,0.1,NA
3,4,4,20,2.7,2.8,2,7.37
3,4,4,30,6.1,7,13,17.37
3,4,4,40,9.8,11.5,46,27.37
3,4,4,50,12.9,14.9,101,37.37
3,4,4,60,15.8,17.3,166,47.37
3,4,4,70,18,19.6,246,57.37
3,4,4,80,19.9,21.1,315,67.37
3,4,4,90,21.7,24.2,462,77.37
3,4,4,100,23.4,27.3,635,87.37
3,4,4,110,24.9,29.9,791,97.37
3,4,4,120,26,32,951,107.37
3,5,1,10,1,NA,0.1,NA
3,5,1,20,3.5,4,3,8.8
3,5,1,30,6.3,7.7,14,18.8
3,5,1,40,10.4,12.7,63,28.8
3,5,1,50,13.4,15.2,118,38.8
3,5,1,60,16.7,17,181,48.8
3,5,1,70,18.8,18.7,255,58.8
3,5,1,80,20.9,20.2,324,68.8
3,5,1,90,23,21.5,390,78.8
3,5,20,10,0.4,NA,NA,NA
3,5,20,20,2.2,1.4,1,5
3,5,20,30,5.7,6,9,15
3,5,20,40,9.4,9.7,32,25
3,5,20,50,12.9,12.6,72,35
3,5,20,60,15.6,14,115,45
3,5,20,70,17.9,16,172,55
3,5,20,80,20.2,18.1,247,65
3,5,20,90,22.4,19.6,320,75
3,5,20,100,23.5,21,392,85
3,5,20,110,24.2,22.8,493,95
3,5,27,20,2,1,1,5
3,5,27,30,4,5.5,5,15
3,5,27,40,6.2,8.5,18,25
3,5,27,50,9.1,11.6,43,35
3,5,27,60,12.5,14.7,97,45
3,5,27,70,15.8,17.8,182,55
3,5,27,80,18.4,21,299,65
3,5,27,90,20.6,24.2,446,75
3,5,27,100,21.9,26.8,583,85
3,5,27,110,23,28.9,717,95
3,5,27,120,24.1,31.2,870,105
3,5,27,130,25.3,33.2,1028,115
3,5,27,140,26.4,35.6,1223,125
3,5,28,20,1.2,NA,0.2,NA
3,5,28,30,2.9,3.2,2,9.41
3,5,28,40,4.9,6.6,11,19.41
3,5,28,50,7.9,9.9,30,29.41
3,5,28,60,10.9,13.9,84,39.41
3,5,28,70,14.2,18.2,189,49.41
3,5,28,80,17.7,21.8,325,59.41
3,5,28,90,20.3,24.7,476,69.41
3,5,28,100,22.1,27.1,636,79.41
3,5,28,110,23.2,29.2,790,89.41
3,5,28,120,24.1,30.9,906,99.41
3,5,28,130,25,32.4,1026,109.41
3,5,28,140,25.8,33.5,1119,119.41
3,5,28,150,26.6,34.9,1235,129.41
3,5,29,10,0.6,NA,0.1,NA
3,5,29,20,1.8,1.3,1,4.17
3,5,29,30,3.5,4,3,14.17
3,5,29,40,5.7,7.2,13,24.17
3,5,29,50,8.2,10.3,35,34.17
3,5,29,60,11.1,12.9,70,44.17
3,5,29,70,13.8,14.9,122,54.17
3,5,29,80,16,16.6,179,64.17
3,5,29,90,18.1,18.5,251,74.17
3,5,29,100,19.7,20,321,84.17
3,5,29,110,21.3,21.9,422,94.17
3,5,29,120,22.6,23.3,504,104.17
3,5,29,130,23.8,25.2,615,114.17
3,5,29,140,25,27.1,724,124.17
3,5,29,150,26.1,28.7,838,134.17
3,5,30,10,0.8,NA,0.1,NA
3,5,30,20,1.9,1.3,1,5.45
3,5,30,30,3.1,3.8,3,15.45
3,5,30,40,6.3,8.7,19,25.45
3,5,30,50,9.7,12.9,60,35.45
3,5,30,60,11.9,17.2,134,45.45
3,5,30,70,13.9,19.6,206,55.45
3,5,30,80,15.7,21.4,278,65.45
3,5,30,90,17.4,22.9,352,75.45
3,5,30,100,18.8,23.8,415,85.45
3,5,30,110,20.2,25.8,505,95.45
3,5,30,120,21.4,27.2,589,105.45
3,5,30,130,22.6,28.5,677,115.45
3,5,30,140,23.8,30.2,795,125.45
3,5,30,150,24.9,31.6,896,135.45
3,5,31,10,0.4,NA,NA,NA
3,5,31,20,1.6,0.5,0.6,2.5
3,5,31,30,4.5,7.1,11,12.5
3,5,31,40,8.2,12.9,53,22.5
3,5,31,50,10.8,18.2,130,32.5
3,5,31,60,12.7,21.4,210,42.5
3,5,31,70,15.4,24.5,325,52.5
3,5,31,80,17.9,27.9,459,62.5
3,5,31,90,19.8,29.3,610,72.5
3,5,31,100,21.7,31.3,760,82.5
3,5,31,110,23.7,32.9,907,92.5
3,5,31,120,25.4,34.2,1051,102.5
3,5,31,130,26.9,35.7,1211,112.5
3,5,31,140,28.3,37.2,1381,122.5
3,5,31,150,29.5,38.9,1570,132.5
3,6,9,10,1.1,NA,0.1,NA
3,6,9,20,3.6,4.2,4,9.2
3,6,9,30,6.3,7.8,16,19.2
3,6,9,40,10.5,11.8,55,29.2
3,6,9,50,14.2,14.5,110,39.2
3,6,9,60,17.2,16.4,174,49.2
3,6,9,70,20,18.2,252,59.2
3,6,9,80,22.3,19.9,344,69.2
3,6,9,90,23.9,21.7,441,79.203
3,6,10,10,1.1,NA,0.4,NA
3,6,10,20,3.5,4.9,5,9.17
3,6,10,30,5.6,8,15,19.17
3,6,10,40,8.4,11.4,44,29.17
3,6,10,50,11.1,14.1,84,39.17
3,6,10,60,13.4,16.5,142,49.17
3,6,10,70,15.2,18.6,208,59.17
3,6,10,80,17.1,20.5,277,69.17
3,6,10,90,18.8,22.7,363,79.17
3,6,10,100,20.6,24.9,463,89.17
3,6,10,110,22.3,27.3,582,99.17
3,7,1,10,1.1,NA,0.2,NA
3,7,1,20,3.6,5,5,9.2
3,7,1,30,6.4,9.6,24,19.2
3,7,1,40,8.8,12.1,49,29.2
3,7,1,50,11.2,13.9,79,39.2
3,7,1,60,13.1,15.7,120,49.2
3,7,1,70,14.8,17.4,170,59.2
3,7,1,80,16.3,18.7,217,69.2
3,7,1,90,17.7,20,272,79.2
3,7,1,100,19.3,21.7,350,89.2
3,7,1,110,21.1,23.6,448,99.2
3,7,1,120,22.7,25.2,555,109.2
3,7,10,10,1,NA,0.1,NA
3,7,10,20,3.6,4.7,5,8.85
3,7,10,30,7,9.4,24,18.85
3,7,10,40,10.5,13.2,61,28.85
3,7,10,50,14,15.8,115,38.85
3,7,10,60,16.7,18.4,190,48.85
3,7,10,70,18.3,20.3,257,58.85
3,7,10,80,19.7,22,327,68.85
3,7,10,90,21.1,24,417,78.85
3,7,10,100,22.2,26,536,88.85
3,7,10,110,23.6,28.3,667,98.85
3,7,10,120,24.7,30,781,108.85
3,7,10,130,25.8,32,912,118.85
3,7,10,140,26.5,33.8,1033,128.85
3,7,10,150,27.3,35.4,1148,138.85
4,5,34,10,0.4,NA,0,NA
4,5,34,20,1.3,NA,0.4,NA
4,5,34,30,3.3,3.8,3,10
4,5,34,40,6.3,6.9,13,20
4,5,34,50,9.1,10.2,39,30
4,5,34,60,11.7,12.9,77,40
4,5,34,70,13.5,14.4,110,50
4,5,34,80,14.9,15.6,140,60
4,5,34,90,16.2,16.7,173,70
4,5,34,100,17.7,18.1,222,80
4,5,34,110,19.6,19.7,285,90
4,5,34,120,20.8,20.9,340,100
4,5,35,10,0.4,NA,0,NA
4,5,35,20,1.8,0.9,0.8,3.57
4,5,35,30,5,6.4,9,13.57
4,5,35,40,7.2,9.6,26,23.57
4,5,35,50,10.3,13.4,70,33.57
4,5,35,60,13,17,139,43.57
4,5,35,70,15.1,19.7,214,53.57
4,5,35,80,16.9,21.8,286,63.57
4,5,35,90,18.7,24,372,73.57
4,5,35,100,20.3,25.9,474,83.57
4,5,35,110,21.6,27.5,569,93.57
4,5,36,10,1.2,NA,0.2,NA
4,5,36,20,3.3,3.7,2.8,9.52
4,5,36,30,5.8,6.5,11,19.52
4,5,36,40,7.5,8.7,24,29.52
4,5,36,50,8.7,10.1,37,39.52
4,5,36,60,9.8,11.5,53,49.52
4,5,36,70,10.9,13,74,59.52
4,5,36,80,11.9,14.1,93,69.52
4,5,36,90,13.1,15.6,123,79.52
4,5,36,100,14.3,16.8,152,89.52
4,5,36,110,15.4,17.7,180,99.52
4,5,37,10,1,NA,0.1,NA
4,5,37,20,2.8,2.9,1.8,8.33
4,5,37,30,4.8,6.5,9,18.33
4,5,37,40,7.2,9.5,26,28.33
4,5,37,50,9.5,12.6,59,38.33
4,5,37,60,11.8,14.8,99,48.33
4,5,37,70,13,16.5,142,58.33
4,5,37,80,14.7,18.6,199,68.33
4,5,37,90,15.8,20,250,78.33
4,5,37,100,17.4,21.6,313,88.33
4,5,37,110,18.7,22.9,373,98.33
4,5,37,120,19.8,24.1,436,108.33
4,5,37,130,20.9,25.1,495,118.33
4,5,38,10,0.8,NA,0.1,NA
4,5,38,20,2.6,3,2.1,7.22
4,5,38,30,4.7,6.5,9,17.22
4,5,38,40,7.2,9.4,25,27.22
4,5,38,50,9.8,12.2,57,37.22
4,5,38,60,12,14.3,97,47.22
4,5,38,70,13.8,16,138,57.22
4,5,38,80,15.2,17.4,181,67.22
4,5,38,90,16.6,18.8,232,77.22
4,5,38,100,18.1,20.3,293,87.22
4,5,38,110,19.5,21.6,345,97.22
4,5,38,120,20.9,23,423,107.22
4,5,39,10,1.1,NA,0.1,NA
4,5,39,20,4.1,5.6,6.9,9.33
4,5,39,30,6.7,11.2,32,19.33
4,5,39,40,9.2,14.8,71,29.33
4,5,39,50,11.5,18.3,133,39.33
4,5,39,60,13.7,21.1,205,49.33
4,5,39,70,15.7,24,302,59.33
4,5,39,80,17.2,26.1,391,69.33
4,5,39,90,18.6,27.9,486,79.33
4,5,39,100,20.3,30,604,89.33
4,5,39,110,21.9,31.9,732,99.33
4,5,39,120,23.1,33.7,870,109.33
4,5,40,10,0.6,NA,0,NA
4,5,40,20,2.1,1.5,1.4,5.33
4,5,40,30,5,6.1,8,15.33
4,5,40,40,7.7,9.3,26,25.33
4,5,40,50,9.9,12.5,60,35.33
4,5,40,60,11.9,14.3,93,45.33
4,5,40,70,13.7,15.7,127,55.33
4,5,40,80,14.7,16.3,146,65.33
4,5,40,90,15.7,17,170,75.33
4,5,40,100,16.5,17.6,192,85.33
4,5,40,110,17.4,18.4,220,95.33
4,5,40,120,18.2,18.9,242,105.33
4,5,40,130,18.9,19.5,268,115.33
4,5,40,140,19.6,19.9,287,125.33
4,5,40,150,20.1,20.3,301,135.33
4,5,41,10,0.7,NA,0.1,NA
4,5,41,20,1.9,1.3,0.7,5
4,5,41,30,3.6,4.4,4,15
4,5,41,40,5.3,6.9,11,25
4,5,41,50,7.2,9,25,35
4,5,41,60,9.2,10.8,46,45
4,5,41,70,11.2,12.6,77,55
4,5,41,80,12.9,14.4,116,65
4,5,41,90,14.5,15.9,160,75
4,5,41,100,15.9,17.6,212,85
4,5,41,110,17.2,19.1,266,95
4,5,41,120,18.6,20.8,333,105
4,5,41,130,19.9,22.5,409,115
4,5,41,140,21,24.2,487,125
4,5,41,150,22,25.7,565,135
4,5,42,10,0.8,NA,0.1,NA
4,5,42,20,2.4,2.7,1.6,6.87
4,5,42,30,3.8,5.7,7,16.87
4,5,42,40,5.7,8,16,26.87
4,5,42,50,8.4,10.8,40,36.88
4,5,42,60,10.9,14,86,46.88
4,5,42,70,13,16.2,137,56.88
4,5,42,80,14.8,17.6,184,66.87
4,5,42,90,16.5,19.1,241,76.87
4,5,42,100,18,20.6,305,86.87
4,5,42,110,19.2,21.8,372,96.87
4,5,42,120,20.4,22.9,433,106.87
4,5,42,130,21.5,24,503,116.87
4,5,42,140,22.5,25,568,126.87
4,5,42,150,23.3,25.9,630,136.87
4,5,43,10,0.7,NA,0.1,NA
4,5,43,20,1.3,NA,0.5,NA
4,5,43,30,3.1,5,5,10
4,5,43,40,4.6,8.4,15,20
4,5,43,50,7.5,11.2,36,30
4,5,43,60,9.8,14.3,79,40
4,5,43,70,11.7,16.5,124,50
4,5,43,80,13.6,18.4,181,60
4,5,43,90,15.5,20.1,244,70
4,5,43,100,17,22,319,80
4,5,43,110,18.6,23.7,399,90
4,5,43,120,20.3,25.7,508,100
4,5,43,130,21.5,27.2,598,110
4,5,43,140,22.7,29.1,708,120
4,5,43,150,23.7,31.4,859,130
4,5,44,10,1.1,NA,0.1,NA
4,5,44,20,3,2.7,1.6,8.95
4,5,44,30,5.1,5.2,6,18.95
4,5,44,40,7.4,7.1,14,28.95
4,5,44,50,9.5,9.4,33,38.95
4,5,44,60,11.6,11.2,60,48.95
4,5,44,70,13.4,12.6,88,58.95
4,5,44,80,15,13.8,119,68.95
4,5,44,90,16.8,15.2,161,78.95
4,5,44,100,18,16.3,199,88.95
4,5,44,110,19.1,17.4,237,98.95
4,5,44,120,20.2,18.1,265,108.95
4,5,44,130,21.2,19,302,118.95
4,5,44,140,22.2,19.7,335,128.95
4,5,44,150,23.1,20.4,377,138.95
4,5,45,10,1,NA,0.1,NA
4,5,45,20,2.8,3.3,2.4,8.33
4,5,45,30,5,6.3,9,18.33
4,5,45,40,7.1,8.7,23,28.33
4,5,45,50,8.9,11,45,38.33
4,5,45,60,10.9,13.5,80,48.33
4,5,45,70,12.9,15.5,134,58.33
4,5,45,80,14.4,17.4,183,68.33
4,5,45,90,15.7,18.8,236,78.33
4,5,45,100,16.9,19.9,286,88.33
4,5,45,110,18.2,21.3,351,98.33
4,5,45,120,19.2,22.3,403,108.33
4,5,45,130,20.4,23.5,472,118.33
4,5,45,140,22.1,25.5,593,128.33
4,5,45,150,23.5,27,703,138.33
4,5,46,10,0.8,NA,NA,NA
4,5,46,20,2.5,2.6,2,7.06
4,5,46,30,5,7.1,12,17.06
4,5,46,40,7.3,10.6,31,27.06
4,5,46,50,9.3,13.5,61,37.06
4,5,46,60,11.1,15.4,99,47.06
4,5,46,70,12.3,17.2,142,57.06
4,5,46,80,13.8,18.6,182,67.06
4,5,46,90,15.7,20.2,241,77.06
4,5,46,100,17.4,21.6,307,87.06
4,5,46,110,18.6,23,377,97.06
4,5,46,120,19.6,24,436,107.06
4,5,46,130,20.6,25,501,117.06
4,5,46,140,22,26.2,587,127.06
4,5,46,150,24.2,27.4,698,137.06
4,5,47,10,1.2,NA,0.2,NA
4,5,47,20,3.8,5.5,7.4,9.62
4,5,47,30,6.4,10,27,19.62
4,5,47,40,8.5,13.3,56,29.62
4,5,47,50,10.4,15.6,90,39.62
4,5,47,60,12.6,18.4,151,49.62
4,5,47,70,14.6,20.9,236,59.62
4,5,47,80,16.7,23.3,331,69.62
4,5,47,90,18.9,26,458,79.62
4,5,47,100,20.7,27.8,563,89.62
4,5,47,110,22.6,29.7,693,99.62
4,5,47,120,24.3,31.4,823,109.62
4,5,47,130,25.9,33,974,119.62
4,5,47,140,27.4,35.2,1156,129.62
4,5,47,150,28.9,37.5,1361,139.62
4,5,48,10,0.8,NA,0.1,NA
4,5,48,20,2.1,2.2,2.2,6.15
4,5,48,30,5.3,8.4,17,16.15
4,5,48,40,8.1,12.2,46,26.15
4,5,48,50,10.4,14.7,84,36.15
4,5,48,60,12.5,16.8,132,46.15
4,5,48,70,14.1,18.5,188,56.15
4,5,48,80,15.4,20.5,256,66.15
4,5,48,90,16.6,22.1,321,76.15
4,5,48,100,17.7,23.7,392,86.15
4,5,48,110,18.8,25.1,461,96.15
4,5,48,120,19.7,26,508,106.15
4,5,48,130,20,27.1,568,116.15
4,5,48,140,21.5,27.9,610,126.15
4,5,48,150,22.2,28.8,668,136.15
4,6,11,10,1,NA,0.1,NA
4,6,11,20,2.1,1.7,0.9,7.27
4,6,11,30,3.6,5,5,17.27
4,6,11,40,5.4,8.5,16,27.27
4,6,11,50,7.7,12.6,46,37.27
4,6,11,60,10.1,16.2,91,47.27
4,6,11,70,11.8,19,147,57.27
4,6,11,80,13.3,22.1,225,67.27
4,6,11,90,14.7,24.1,307,77.27
4,6,11,100,16,26.3,378,87.27
4,6,11,110,17.1,27.8,447,97.27
4,6,11,120,18,28.9,506,107.27
4,6,11,130,18.8,29.5,550,117.27
4,6,11,140,19.5,30.3,595,127.27
4,6,11,150,20.1,31.2,643,137.27
4,6,12,10,0.8,NA,0.1,NA
4,6,12,20,2.5,2.4,1.3,7.06
4,6,12,30,5.2,7.3,26,17.06
4,6,12,40,6.9,10,30,27.06
4,6,12,50,8.4,12.5,56,37.06
4,6,12,60,10,15.1,96,47.06
4,6,12,70,12.1,17.5,151,57.06
4,6,12,80,13.8,19.6,220,67.06
4,6,12,90,15.1,21.5,295,77.06
4,6,12,100,16.4,23.3,372,87.06
4,6,12,110,17.7,25.3,476,97.06
4,6,12,120,19,27.1,583,107.06
4,6,12,130,20.6,28.5,672,117.06
4,6,12,140,22.2,30,781,127.06
4,6,12,150,23.6,31.6,925,137.06
4,7,11,10,1,NA,0.1,NA
4,7,11,20,2.9,2.9,1.8,8.42
4,7,11,30,5.4,7.1,12,18.42
4,7,11,40,7.8,10.4,35,28.42
4,7,11,50,9.8,13.3,68,38.42
4,7,11,60,11.7,15.8,111,48.42
4,7,11,70,13.7,17.7,163,58.42
4,7,11,80,15.3,19.4,225,68.42
4,7,13,10,1,NA,0.1,NA
4,7,13,20,2.6,3,2.5,8.13
4,7,13,30,5.2,7.9,14,18.12
4,7,13,40,7.3,10.8,33,28.12
4,7,13,50,9.3,13.2,61,38.13
4,7,13,60,10.7,15.3,98,48.13
4,7,13,70,11.8,17.1,135,58.13
4,7,13,80,12.8,18.9,177,68.12
4,7,13,90,13.7,20.2,206,78.12
4,7,13,100,14.5,21.1,232,88.12
4,7,13,110,15.5,22.2,271,98.12
4,7,13,120,16.9,23.8,330,108.12
4,7,14,10,0.9,NA,0.1,NA
4,7,14,20,2.5,2.1,1.8,7.5
4,7,14,30,5.4,8.8,18,17.5
4,7,14,40,8.3,12.7,49,27.5
4,7,14,50,10.2,15.1,87,37.5
4,7,14,60,11.5,16.8,125,47.5
4,7,14,70,12.6,18.2,162,57.5
4,7,14,80,13.6,19.9,203,67.5
4,7,14,90,14.6,21.2,250,77.5
4,7,14,100,15.6,22.8,314,87.5
4,7,14,110,17,24.2,380,97.5
4,7,14,120,18.3,25.6,458,107.5
4,7,15,10,1.1,NA,0.2,NA
4,7,15,20,3.3,4.3,4.7,9.09
4,7,15,30,6.2,9.6,22,19.09
4,7,15,40,9,13,56,29.09
4,7,15,50,10.9,15.8,100,39.09
4,7,15,60,12.3,17.9,146,49.09
4,7,15,70,13.6,20,199,59.09
4,7,15,80,15,22.3,266,69.09
4,7,15,90,16.5,24.6,346,79.09
4,7,15,100,18.3,27.1,446,89.09
4,7,15,110,19.9,29.9,578,99.09
4,7,15,120,21.6,32.8,737,109.09
5,4,8,20,1.3,NA,0.3,NA
5,4,8,30,3.8,5,5,10
5,4,8,40,5.2,7.6,14,20
5,4,8,50,6.5,9.1,23,30
5,4,8,60,8.1,10.7,39,40
5,4,8,70,10.2,12.6,63,50
5,4,8,80,12.1,14.5,103,60
5,4,8,90,13.6,16.4,153,70
5,4,8,100,14.7,17.9,196,80
5,4,8,110,15.7,19.3,238,90
5,4,8,120,16.2,20,265,100
5,4,8,130,16.7,20.6,289,110
5,4,8,140,17.3,21.1,309,120
5,4,8,150,17.8,21.5,327,130
5,4,9,20,1.2,NA,0.3,NA
5,4,9,30,3.2,3.6,3,9.5
5,4,9,40,5.5,7.6,14,19.5
5,4,9,50,6.9,10.4,31,29.5
5,4,9,60,8.1,13,54,39.5
5,4,9,70,9.8,15.8,91,49.5
5,4,9,80,11.3,18.6,146,59.5
5,4,9,90,13.2,21,212,69.5
5,4,9,100,15.4,22.8,279,79.5
5,4,9,110,16.8,24.5,353,89.5
5,4,9,120,17.7,26.3,433,99.5
5,4,9,130,18.5,28.6,530,109.5
5,4,9,140,19.3,30.3,616,119.5
5,4,9,150,20.1,31.7,698,129.5
5,4,10,20,1.3,NA,0.3,NA
5,4,10,30,3.3,3.7,3,10
5,4,10,40,5.9,7,12,20
5,4,10,50,8.6,10.3,34,30
5,4,10,60,10.9,14.1,77,40
5,4,10,70,12.7,17.5,131,50
5,4,10,80,14.7,20.6,205,60
5,4,10,90,16.5,23.4,295,70
5,4,10,100,17.9,26,403,80
5,4,10,110,19.1,28.4,516,90
5,4,10,120,20.1,30.5,631,100
5,4,10,130,21,32.9,775,110
5,4,10,140,21.7,34.6,887,120
5,4,10,150,22.3,36.2,997,130
5,5,32,10,0.4,NA,NA,NA
5,5,32,20,1,NA,0.2,NA
5,5,32,30,2.2,1.5,1,7.5
5,5,32,40,4.9,5.1,6,17.5
5,5,32,50,8.1,8.3,23,27.5
5,5,32,60,10.6,10.3,47,37.5
5,5,32,70,12.2,11.6,68,47.5
5,5,32,80,13.6,12.8,92,57.5
5,5,32,90,14.9,13.8,117,67.5
5,5,32,100,16,14.5,134,77.5
5,5,33,10,0.6,NA,NA,NA
5,5,33,20,1.3,NA,0.3,NA
5,5,33,30,2.6,2.6,2,10
5,5,33,40,3.6,6,7,20
5,5,33,50,4.6,7.6,13,30
5,5,33,60,5.7,9.1,20,40
5,5,33,70,6.9,10.3,30,50
5,5,33,80,8.6,11.4,42,60
5,5,33,90,10.3,12.9,65,70
5,5,33,100,12.2,14.5,96,80
5,5,33,110,13.7,16,132,90
5,5,33,120,15,17.4,172,100
5,5,33,130,16.2,18.6,206,110
5,7,12,10,0.8,NA,NA,NA
5,7,12,20,1.9,1.4,0.8,5.45
5,7,12,30,3.2,4.6,4,15.45
5,7,12,40,4.4,7.1,11,25.45
5,7,12,50,5.6,8.8,19,35.45
5,7,12,60,6.9,10.2,28,45.45
5,7,12,70,8.5,11.5,43,55.45
5,7,12,80,10,12.8,60,65.45
5,7,12,90,11.3,14.2,83,75.45
5,7,12,100,12.6,15.5,109,85.45
5,7,12,110,14.1,17.2,148,95.45
5,7,12,120,15.4,18.7,189,105.45
5,7,20,20,0.7,NA,0.1,NA
5,7,20,30,1.3,NA,1,NA
5,7,20,40,2,2.2,2,10
5,7,20,50,2.7,4,4,20
5,7,20,60,3.5,5.8,7,30
5,7,20,70,4.4,7.4,12,40
5,7,20,80,5.4,8.9,20,50
5,7,20,90,6.5,10.6,31,60
5,7,20,100,7.7,12.4,47,70
5,7,20,110,8.8,14.3,71,80
5,7,20,120,9.7,15.5,92,90
5,7,20,130,10.4,16.7,116,100
5,7,20,140,11.1,17.7,140,110
5,7,20,150,11.9,18.8,169,120
5,7,21,20,1.3,NA,0.6,NA
5,7,21,30,2.5,3.8,4,10
5,7,21,40,3.7,6.9,10,20
5,7,21,50,4.7,8.8,18,30
5,7,21,60,5.7,10.5,27,40
5,7,21,70,6.7,12.1,38,50
5,7,21,80,7.9,13.7,56,60
5,7,21,90,8.8,14.9,72,70
5,7,21,100,9.7,16.2,90,80
5,7,21,110,10.3,17.1,104,90
5,7,21,120,10.9,18.2,123,100
5,7,21,130,11.5,19.2,144,110
5,7,21,140,12.2,20.2,166,120
5,7,21,150,12.9,21.1,190,130
