"This dataset represents a selection of tree taper data from the British Columbia Ministry of Forests and Range volume and decay databases. The trees in the master database were used to fit the taper equations used in B.C.  All trees in the master database were selected purposefully.",,,,,,,,,,
"The trees in this dataset were systematically selected from the range of dbh for the species within a biogeoclimatic zone from the trees in the master database.",,,,,,,,,,
"Each record equals a section of a tree and cites the height above ground (high side), its stem diameter and volume for the upper position of the section.  Header details describing the tree species, biogeoclimatic unit, dbh, height, age  and total tree volume are cited for each section record.",,,,,,,,,,
"927377",0.76,3,80.3,0.23,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",1.3,4,71.6,0.25,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",5.43,5,64.8,1.51,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",9.48,6,63.2,1.3,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",13.53,7,61.7,1.24,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",17.59,8,55.4,1.1,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",21.64,9,54.9,0.97,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",25.69,10,49,0.86,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",29.75,11,42.4,0.67,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",33.8,12,38.6,0.52,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",37.86,13,22.1,0.32,"B","CWH ws 1",453,74.9,42.09,9.31
"927377",42.09,14,0,0.06,"B","CWH ws 1",453,74.9,42.09,9.31
"927325",0.3,1,103.9,0.25,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",0.4,2,96.5,0.08,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",0.82,3,83.1,0.27,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",1.3,4,76.9,0.24,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",6.4,5,67.1,2.09,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",11.43,6,66.8,1.77,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",16.46,7,61.2,1.62,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",21.49,8,55.9,1.36,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",26.52,9,49.5,1.1,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",31.55,10,42.2,0.84,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",36.58,11,35.3,0.6,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",41.61,12,25.4,0.37,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",46.63,13,16.8,0.18,"B","CWH ws 1",361,80.6,51.72,10.81
"927325",51.72,14,0,0.05,"B","CWH ws 1",361,80.6,51.72,10.81
"927261",0.3,1,126.7,0.38,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",0.4,2,114.6,0.11,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",0.82,3,92.7,0.36,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",1.3,4,80.3,0.28,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",5.91,5,69.6,2.04,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",10.45,6,65.3,1.62,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",15,7,60.7,1.42,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",19.54,8,55.6,1.21,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",24.08,9,52.3,1.04,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",28.62,10,43.2,0.82,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",33.16,11,36.1,0.57,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",37.7,12,25.7,0.35,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",42.25,13,12.2,0.14,"B","CWH ws 1",332,84.8,46.97,10.37
"927261",46.97,14,0,0.02,"B","CWH ws 1",332,84.8,46.97,10.37
"927322",0.3,1,111,0.29,"B","CWH ws 1",313,87.4,52,12.8
"927322",0.43,2,103.6,0.12,"B","CWH ws 1",313,87.4,52,12.8
"927322",0.85,3,91.7,0.32,"B","CWH ws 1",313,87.4,52,12.8
"927322",1.3,4,83.9,0.27,"B","CWH ws 1",313,87.4,52,12.8
"927322",6.43,5,78,2.64,"B","CWH ws 1",313,87.4,52,12.8
"927322",11.49,6,68.3,2.14,"B","CWH ws 1",313,87.4,52,12.8
"927322",16.55,7,62.7,1.71,"B","CWH ws 1",313,87.4,52,12.8
"927322",21.61,8,59.4,1.48,"B","CWH ws 1",313,87.4,52,12.8
"927322",26.67,9,54.4,1.29,"B","CWH ws 1",313,87.4,52,12.8
"927322",31.73,10,47.8,1.04,"B","CWH ws 1",313,87.4,52,12.8
"927322",36.79,11,39.6,0.77,"B","CWH ws 1",313,87.4,52,12.8
"927322",41.85,12,28.7,0.48,"B","CWH ws 1",313,87.4,52,12.8
"927322",46.91,13,16.8,0.22,"B","CWH ws 1",313,87.4,52,12.8
"927322",52,14,0,0.05,"B","CWH ws 1",313,87.4,52,12.8
"927354",0.3,1,116.6,0.32,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",0.43,2,105.2,0.13,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",0.85,3,95,0.33,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",1.3,4,86.4,0.29,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",6.4,5,73.4,2.57,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",11.43,6,73.2,2.12,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",16.46,7,70.9,2.05,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",21.49,8,58.9,1.68,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",26.52,9,54.6,1.27,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",31.55,10,45.7,1,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",36.58,11,37.3,0.69,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",41.61,12,27.4,0.42,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",46.63,13,15.2,0.19,"B","CWH ws 1",444,89.7,51.59,13.11
"927354",51.59,14,0,0.04,"B","CWH ws 1",444,89.7,51.59,13.11
"930272",0.3,1,13.2,0,"H","CWH ws 1",82,15,16.15,0.11
"930272",0.61,2,13.5,0,"H","CWH ws 1",82,15,16.15,0.11
"930272",1.3,3,13.2,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",2.84,4,12.4,0.02,"H","CWH ws 1",82,15,16.15,0.11
"930272",4.3,5,11.9,0.02,"H","CWH ws 1",82,15,16.15,0.11
"930272",5.76,6,10.9,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",7.22,7,10.4,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",8.69,8,8.9,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",10.15,9,7.9,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",11.61,10,7.1,0.01,"H","CWH ws 1",82,15,16.15,0.11
"930272",13.08,11,4.1,0,"H","CWH ws 1",82,15,16.15,0.11
"930272",14.54,12,2.3,0,"H","CWH ws 1",82,15,16.15,0.11
"930272",16.15,13,0,0,"H","CWH ws 1",82,15,16.15,0.11
"928864",0.3,1,14.7,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",0.61,2,14.7,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",1.3,3,14.7,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",3.05,4,14.7,0.03,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",4.72,5,14,0.03,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",6.4,6,13,0.02,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",8.08,7,11.4,0.02,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",9.75,8,10.4,0.02,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",11.43,9,9.4,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",13.11,10,8.4,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",14.78,11,6.3,0.01,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",16.46,12,3,0,"H","CWH ws 1",116,16.5,18.14,0.17
"928864",18.14,13,0,0,"H","CWH ws 1",116,16.5,18.14,0.17
"928840",0.3,1,16.5,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",0.61,2,16,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",1.3,3,16,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",2.84,4,15.5,0.03,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",4.3,5,14.7,0.03,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",5.76,6,14,0.02,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",7.22,7,13,0.02,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",8.69,8,11.2,0.02,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",10.15,9,10.4,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",11.61,10,8.9,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",13.08,11,6.1,0.01,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",14.54,12,3.3,0,"H","CWH ws 1",107,17.8,16.37,0.18
"928840",16.37,13,0,0,"H","CWH ws 1",107,17.8,16.37,0.18
"929343",0.3,1,20.3,0.01,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",0.61,2,19.3,0.01,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",1.3,3,18.6,0.02,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",2.59,4,17.5,0.03,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",3.81,5,16,0.03,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",5.03,6,14.7,0.02,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",6.25,7,13.5,0.02,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",7.47,8,10.4,0.01,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",8.69,9,8.4,0.01,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",9.91,10,6.6,0.01,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",11.13,11,4.3,0,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",12.34,12,2,0,"H","CWH ws 1",182,20.9,13.59,0.17
"929343",13.59,13,0,0,"H","CWH ws 1",182,20.9,13.59,0.17
"928903",0.3,1,28.7,0.02,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",0.61,2,25.7,0.02,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",1.3,3,25.2,0.04,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",3.81,4,25.4,0.13,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",6.25,5,23.9,0.12,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",8.69,6,22.9,0.11,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",11.13,7,20.6,0.09,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",13.56,8,19.3,0.08,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",16,9,15.5,0.06,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",18.44,10,12.7,0.04,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",20.88,11,8.6,0.02,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",23.32,12,4.8,0.01,"H","CWH ws 1",108,27.5,25.94,0.72
"928903",25.94,13,0,0,"H","CWH ws 1",108,27.5,25.94,0.72
"929347",0.3,1,48.5,0.06,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",0.61,2,46.2,0.05,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",1.3,3,45,0.11,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",3.26,4,41.7,0.29,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",5.15,5,40.4,0.25,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",7.04,6,36.6,0.22,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",8.93,7,34.8,0.19,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",10.82,8,30,0.16,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",12.71,9,27.2,0.12,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",14.6,10,21.1,0.09,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",16.49,11,17.5,0.06,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",18.38,12,2.5,0.02,"H","CWH ws 1",194,50.1,20.39,1.62
"929347",20.39,13,0,0,"H","CWH ws 1",194,50.1,20.39,1.62
"927670",0.3,1,13.5,0,"S","CWH ws 1",51,12,19.26,0.1
"927670",0.61,2,11.4,0,"S","CWH ws 1",51,12,19.26,0.1
"927670",1.3,3,11.2,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",3.14,4,10.9,0.02,"S","CWH ws 1",51,12,19.26,0.1
"927670",4.91,5,10.4,0.02,"S","CWH ws 1",51,12,19.26,0.1
"927670",6.68,6,9.7,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",8.44,7,8.9,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",10.21,8,7.9,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",11.98,9,6.9,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",13.75,10,5.6,0.01,"S","CWH ws 1",51,12,19.26,0.1
"927670",15.51,11,4.3,0,"S","CWH ws 1",51,12,19.26,0.1
"927670",17.28,12,2.5,0,"S","CWH ws 1",51,12,19.26,0.1
"927670",19.26,13,0,0,"S","CWH ws 1",51,12,19.26,0.1
"927643",0.3,1,14.2,0,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",0.61,2,13.2,0,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",1.3,3,12.5,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",3.02,4,11.7,0.02,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",4.66,5,10.9,0.02,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",6.31,6,10.7,0.02,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",7.96,7,9.7,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",9.6,8,9.1,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",11.25,9,8.4,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",12.89,10,7.4,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",14.54,11,6.1,0.01,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",16.18,12,3.3,0,"S","CWH ws 1",49,13.5,17.95,0.12
"927643",17.95,13,0,0,"S","CWH ws 1",49,13.5,17.95,0.12
"927675",0.3,1,16,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",0.61,2,14.7,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",1.3,3,14.2,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",2.9,4,13,0.02,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",4.42,5,12.7,0.02,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",5.94,6,11.7,0.02,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",7.47,7,10.9,0.02,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",8.99,8,9.7,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",10.52,9,8.6,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",12.04,10,7.1,0.01,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",13.56,11,5.3,0,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",15.09,12,3.6,0,"S","CWH ws 1",61,14.8,16.82,0.14
"927675",16.82,13,0,0,"S","CWH ws 1",61,14.8,16.82,0.14
"929656",0.3,1,23.1,0.01,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",0.61,2,19,0.01,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",1.3,3,19.3,0.02,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",2.93,4,19,0.05,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",4.48,5,17.8,0.04,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",6.04,6,17.3,0.04,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",7.59,7,15.2,0.03,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",9.14,8,14,0.03,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",10.7,9,13.2,0.02,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",12.25,10,12.2,0.02,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",13.81,11,10.4,0.02,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",15.36,12,9.4,0.01,"S","CWH ws 1",95,20.3,16.86,0.3
"929656",16.86,13,0,0,"S","CWH ws 1",95,20.3,16.86,0.3
"927673",0.3,1,26.2,0.02,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",0.61,2,25.1,0.02,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",1.3,3,22.4,0.03,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",3.63,4,19.3,0.08,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",5.88,5,18.3,0.06,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",8.14,6,16.8,0.05,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",10.39,7,16.3,0.05,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",12.65,8,13.7,0.04,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",14.9,9,11.7,0.03,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",17.16,10,9.1,0.02,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",19.42,11,6.6,0.01,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",21.67,12,3.8,0.01,"S","CWH ws 1",61,23.6,24.02,0.41
"927673",24.02,13,0,0,"S","CWH ws 1",61,23.6,24.02,0.41
"926959",0.3,1,30,0.02,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",0.61,2,26.4,0.02,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",1.3,3,23.6,0.03,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",3.05,4,20.6,0.07,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",4.72,5,19.3,0.05,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",6.4,6,17.5,0.04,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",8.08,7,16,0.04,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",9.75,8,15,0.03,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",11.43,9,12.2,0.02,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",13.11,10,9.4,0.02,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",14.78,11,6.6,0.01,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",16.46,12,3.6,0,"S","CWH ws 1",153,25.1,18.17,0.36
"926959",18.17,13,0,0,"S","CWH ws 1",153,25.1,18.17,0.36
"927513",0.3,1,43.2,0.04,"S","CWH ws 1",93,34.2,28.9,1
"927513",0.61,2,40.6,0.04,"S","CWH ws 1",93,34.2,28.9,1
"927513",1.3,3,31.2,0.07,"S","CWH ws 1",93,34.2,28.9,1
"927513",4.12,4,27.9,0.19,"S","CWH ws 1",93,34.2,28.9,1
"927513",6.86,5,26.2,0.16,"S","CWH ws 1",93,34.2,28.9,1
"927513",9.6,6,24.4,0.14,"S","CWH ws 1",93,34.2,28.9,1
"927513",12.34,7,21.3,0.11,"S","CWH ws 1",93,34.2,28.9,1
"927513",15.09,8,19,0.09,"S","CWH ws 1",93,34.2,28.9,1
"927513",17.83,9,16.5,0.07,"S","CWH ws 1",93,34.2,28.9,1
"927513",20.57,10,12.2,0.05,"S","CWH ws 1",93,34.2,28.9,1
"927513",23.32,11,9.1,0.03,"S","CWH ws 1",93,34.2,28.9,1
"927513",26.06,12,5.8,0.01,"S","CWH ws 1",93,34.2,28.9,1
"927513",28.9,13,0,0,"S","CWH ws 1",93,34.2,28.9,1
"929678",0.3,1,48.5,0.06,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",0.61,2,43.9,0.05,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",1.3,3,41.1,0.1,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",3.48,4,38.6,0.27,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",5.58,5,35.6,0.23,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",7.68,6,32,0.19,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",9.78,7,28.7,0.15,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",11.89,8,24.4,0.12,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",13.99,9,19.8,0.08,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",16.09,10,18,0.06,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",18.2,11,10.4,0.04,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",20.3,12,5.1,0.01,"S","CWH ws 1",64,43.1,22.49,1.35
"929678",22.49,13,0,0,"S","CWH ws 1",64,43.1,22.49,1.35
"929685",0.3,1,48.8,0.06,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",0.61,2,46.7,0.06,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",1.3,3,43.7,0.11,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",4.57,4,37.6,0.43,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",7.77,5,33.8,0.32,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",10.97,6,31.7,0.27,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",14.17,7,29.2,0.23,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",17.37,8,25.7,0.19,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",20.57,9,22.6,0.15,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",23.77,10,17.8,0.1,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",26.97,11,12.7,0.06,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",30.18,12,6.6,0.03,"S","CWH ws 1",136,46.3,33.38,2.01
"929685",33.38,13,0,0,"S","CWH ws 1",136,46.3,33.38,2.01
"927520",0.3,1,80.8,0.15,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",0.61,2,57.9,0.12,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",1.3,3,44.9,0.15,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",4.73,4,35.8,0.44,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",8.08,5,33.5,0.32,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",11.43,6,30.2,0.27,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",14.78,7,27.7,0.22,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",18.14,8,23.6,0.17,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",21.49,9,19.6,0.12,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",24.84,10,15.2,0.08,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",28.19,11,10.7,0.05,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",31.55,12,5.6,0.02,"S","CWH ws 1",167,46.9,34.9,2.12
"927520",34.9,13,0,0,"S","CWH ws 1",167,46.9,34.9,2.12
"929675",0.3,1,52.6,0.07,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",0.61,2,51.8,0.07,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",1.3,3,50,0.14,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",3.99,4,45.5,0.48,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",6.61,5,42.7,0.4,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",9.24,6,39.1,0.35,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",11.86,7,36.6,0.3,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",14.48,8,30.7,0.23,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",17.1,9,26.7,0.17,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",19.72,10,21.3,0.12,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",22.34,11,17.8,0.08,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",24.96,12,9.4,0.04,"S","CWH ws 1",97,52.5,27.71,2.45
"929675",27.71,13,0,0.01,"S","CWH ws 1",97,52.5,27.71,2.45
"927534",0.3,1,85.6,0.17,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",0.61,2,72.4,0.15,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",1.3,3,52.4,0.22,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",4.12,4,41.9,0.5,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",6.86,5,39.6,0.36,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",9.6,6,36.6,0.31,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",12.34,7,33,0.26,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",15.09,8,31,0.22,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",17.83,9,24.6,0.17,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",20.57,10,19.3,0.11,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",23.32,11,13.5,0.06,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",26.06,12,6.1,0.02,"S","CWH ws 1",112,55.6,29.02,2.55
"927534",29.02,13,0,0,"S","CWH ws 1",112,55.6,29.02,2.55
"926956",0.3,1,75.7,0.14,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",0.61,2,66.3,0.12,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",1.3,3,55.1,0.2,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",4.76,4,47,0.71,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",8.14,5,42.4,0.53,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",11.52,6,38.6,0.44,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",14.9,7,35.1,0.36,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",18.29,8,30.2,0.29,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",21.67,9,24.9,0.2,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",25.05,10,18.8,0.13,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",28.44,11,12.7,0.07,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",31.82,12,7.1,0.03,"S","CWH ws 1",94,57.7,35.33,3.22
"926956",35.33,13,0,0.01,"S","CWH ws 1",94,57.7,35.33,3.22
"926960",0.3,1,101.6,0.24,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",0.34,2,94.7,0.03,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",0.67,3,75.4,0.19,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",1.3,4,64.3,0.24,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",6.43,5,53.1,1.4,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",11.49,6,47,1,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",16.55,7,43.7,0.82,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",21.61,8,41.7,0.73,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",26.67,9,37.1,0.62,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",31.73,10,32.3,0.48,"S","CWH ws 1",156,67.1,52.12,6.46
"926960",36.79,11,27.4,0.36,"S","CWH ws 1",156,67.1,52.12,6.46
